id,gender_1,pitch_1,speaking_rate_1,others_1,annotator_1,gender_2,pitch_2,speaking_rate_2,others_2,annotator_2,gender_3,pitch_3,speaking_rate_3,others_3,annotator_3,gender_4,pitch_4,speaking_rate_4,others_4,annotator_4,gender_5,pitch_5,speaking_rate_5,others_5,annotator_5
0000,男性,,ゆっくり,"30代, 苦悩に満ちた, けだるそう",debussy4181,,,,,,,,,,,,,,,,,,,,
0001,男性,,,"40代, 読み聞かせるように, 優しげな",sibelius5028,,,,,,,,,,,,,,,,,,,,
0002,男性,低い,ゆっくり,"20代, 演技がかった, 言い聞かせるように",badarzewska7662,,,,,,,,,,,,,,,,,,,,
0003,男性,かなり低い,,"中年, 暗い, 上から目線, お願いするように",bach9259,,,,,,,,,,,,,,,,,,,,
0004,女性,,,"10代から20代, いらいらした感じ",bruchner7847,,,,,,,,,,,,,,,,,,,,
0005,女性,,ゆっくりと,"若い, 抑揚のある",bach8570,,,,,,,,,,,,,,,,,,,,
0006,女性,高い,,"10代, 思いつめた様子, 囁くように",badarzewska1268,,,,,,,,,,,,,,,,,,,,
0007,男性,,やや早口,"壮年, 滑舌の良い, 説明口調",schubert3669,,,,,,,,,,,,,,,,,,,,
0008,男性,,,"中年, 淡々と, 威厳をもって",brahms0622,,,,,,,,,,,,,,,,,,,,
0009,男性,,ゆっくり,"相手によく伝わるように説明している, はきはきした",schumann0988,,,,,,,,,,,,,,,,,,,,
0010,男性,,,"相手に教えるようにして, はきはきした",schubert5976,,,,,,,,,,,,,,,,,,,,
0011,男性,,ゆっくり,"30代, 説明するような感じ, はきはきとした",bizet8406,,,,,,,,,,,,,,,,,,,,
0012,男性,,,"30代くらい, かっこつけて, はきはきした",verdi8869,,,,,,,,,,,,,,,,,,,,
0014,男性,,,"中年, 熱い言葉, テンポよく",ravel1231,,,,,,,,,,,,,,,,,,,,
0026,女性,高い,はきはき,"若い, 説明するように",wagner9867,,,,,,,,,,,,,,,,,,,,
0027,女性,,はきはきした,"20代, 悩み",verdi8869,,,,,,,,,,,,,,,,,,,,
0028,女性,,"早口, 急かす",40代,brahms6915,,,,,,,,,,,,,,,,,,,,
0057,男性,低く,,"50代位, 野太い, 現状について話している",bizet2804,,,,,,,,,,,,,,,,,,,,
0058,女性,,,"中年, 明るい, 最初の部分を説明するように, はきはきとした",monteverdi8856,,,,,,,,,,,,,,,,,,,,
0059,女性,はっきりと,,"中年, 快活さ, 明るく",handel7557,女性,,"ゆっくり(はじめは), やや早口(後半は)","中年, 一人でのトークのような話し",mahler9572,,,,,,,,,,,,,,,
0060,女性,中音,,"20～30代, ハキハキ",mahler6679,,,,,,,,,,,,,,,,,,,,
0061,女性,,とても早口,"30代～40代, はきはきしている",wagner4840,,,,,,,,,,,,,,,,,,,,
0062,女性,,,"中年, 楽しそう, はきはきとした",schubert4525,,,,,,,,,,,,,,,,,,,,
0064,男性,低い,ゆっくりと,"30代ぐらいの, アニメ調であるけど渋い",beethoven4967,,,,,,,,,,,,,,,,,,,,
0065,男性,聞き取りやすい,,"30代, ダンディな感じ, 落ち着いた口調",brahms1342,,,,,,,,,,,,,,,,,,,,
0066,女性,,ゆっくりと丁寧に,"若い, 小説のあらすじを説明するかのように",monteverdi9855,,,,,,,,,,,,,,,,,,,,
0067,女性,,ゆったりとした,30代くらい,haydn3911,,,,,,,,,,,,,,,,,,,,
0068,女性,高い,,"若い, 事実を淡々としゃべっている, はきはきした",bruchner9218,,,,,,,,,,,,,,,,,,,,
0069,女性,落ち着いた,,"若い, 説明するような口ぶり",sibelius8792,,,,,,,,,,,,,,,,,,,,
0071,女性,低い,,"若い, 落ち着いた感じ",monteverdi3092,,,,,,,,,,,,,,,,,,,,
0072,女性,,,"30代くらい, 落ち着いた口調, ナレーション",bach5211,,,,,,,,,,,,,,,,,,,,
0073,女性,しっかりした,丁寧に,,haydn1359,,,,,,,,,,,,,,,,,,,,
0074,女性,低め,,20代,debussy4181,,,,,,,,,,,,,,,,,,,,
0075,女性,,,"比較的若い, 冷静かつ丁寧な説明口調",ravel6508,,,,,,,,,,,,,,,,,,,,
0076,女性,,淡々とした,"若い, 体験談を語る",chopin2355,,,,,,,,,,,,,,,,,,,,
0077,女性,,ゆっくりと丁寧に,"若い, わかりやすい口調",elger3773,,,,,,,,,,,,,,,,,,,,
0078,女性,幼い,落ち着いた,10代から20代,mozart2863,,,,,,,,,,,,,,,,,,,,
