id,characteristics_prompt_1,annotator_1,characteristics_prompt_2,annotator_2,characteristics_prompt_3,annotator_3,characteristics_prompt_4,annotator_4,characteristics_prompt_5,annotator_5
0000,30代くらいの男性の声。ゆっくりと穏やかな話し方でした。苦悩に満ちた、けだるそうな声でした。,debussy4181,,,,,,,,
0001,40代の男性が、優しげな声で、読み聞かせるように喋っている。,sibelius5028,,,,,,,,
0002,20代の男性が、演技がかった低い声で、ゆっくりと言い聞かせるように喋っている。,badarzewska7662,,,,,,,,
0003,中年の暗い男性が、かなり低い声で、上から目線でお願いするように喋っていた。,bach9259,,,,,,,,
0004,10代から20代の女性が、少しいらいらした感じで話している。,bruchner7847,,,,,,,,
0005,若い女性が、抑揚のある声で、ゆっくりと喋っている。,bach8570,,,,,,,,
0006,10代くらいの若い女性が、高い声で囁くように、思いつめた様子で話しをしている。,badarzewska1268,,,,,,,,
0007,壮年の男性がやや早口の滑舌の良い声で、説明口調で話している。,schubert3669,,,,,,,,
0008,中年男性が淡々と、威厳をもって読み上げるように喋っている。,brahms0622,,,,,,,,
0009,男性が、はきはきした声で、ゆっくりと相手によく伝わるように説明している。,schumann0988,,,,,,,,
0010,男性が、はきはきした声で、相手に教えるようにして、話しをしている。,schubert5976,,,,,,,,
0011,30代の男性が、はきはきとした声で、ゆっくりと誰かに説明するような感じで喋っている。,bizet8406,,,,,,,,
0012,30代くらいの男性が、はきはきした声で、かっこつけて喋っている。,verdi8869,,,,,,,,
0014,中年の男性が熱い言葉でテンポよく話している。,ravel1231,,,,,,,,
0026,若い女性がはきはきとした声で、説明するように話している。,wagner9867,,,,,,,,
0027,20代くらいの女性が、はきはきした声で、悩みながら喋っている。,verdi8869,,,,,,,,
0028,40代くらいの女性が、あまり遠慮のない早口で、急かすようにしゃべっている。,brahms6915,,,,,,,,
0057,50代位の男性が、低く野太い声で自分たちの現状について話している。,bizet2804,,,,,,,,
0058,中年の明るい女性が、はきはきとした声で、最初の部分を説明するように喋っている。,monteverdi8856,,,,,,,,
0059,中年女性がはっきりと快活さを感じさせる声で明るく話している。,handel7557,中年くらいの女性が、はじめはゆっくりと、後半はやや早口で、一人でのトークのような話しをしている。,mahler9572,,,,,,
0060,20～30代の女性が中音くらいの声でハキハキと話している。,mahler6679,,,,,,,,
0061,30代～40代の女性の声。はきはきはしているがとても早口に喋っている。,wagner4840,,,,,,,,
0062,明るい中年の女性がはきはきとした声で楽しそうに喋っている。,schubert4525,,,,,,,,
0064,30代ぐらいの男性が、アニメ調であるけど渋い低い声でゆっくりと喋っている。,beethoven4967,,,,,,,,
0065,30代のダンディな感じの男性が、聞き取りやすい声で、落ち着いた口調で喋っている。,brahms1342,,,,,,,,
